channel,band,feature_type,window_shift,subject_id,mean_correlation
AF8,theta,standard_deviation,win-4,1,0.0920469960115405
AF8,theta,standard_deviation,win-5,1,0.1037961603744416
AF8,theta,standard_deviation,win-6,1,0.102931793292787
AF8,theta,standard_deviation,win-7,1,0.0978327560032145
AF8,theta,standard_deviation,win-8,1,0.09250306675173
AF8,theta,standard_deviation,win-9,1,0.0983378525240548
AF8,theta,standard_deviation,win0,1,0.0959284741054447
AF8,theta,total_variation,win-1,1,0.0830608415666421
AF8,theta,total_variation,win-2,1,0.0875894372694633
AF8,theta,total_variation,win-3,1,0.0876851310450066
AF8,theta,total_variation,win-4,1,0.0889411590143576
AF8,theta,total_variation,win-5,1,0.0999360130440646
AF8,theta,total_variation,win-6,1,0.101015383079496
AF8,theta,total_variation,win-7,1,0.0987369624610379
AF8,theta,total_variation,win-8,1,0.0919753157751165
